,0
0,1
1,10
2,6
3,11
4,12
5,13
6,13
7,5
8,14
9,5
10,0
11,14
12,5
13,5
14,6
15,14
16,0
17,10
18,8
19,8
20,12
21,9
22,5
23,9
24,9
25,9
26,1
27,14
28,8
29,9
30,14
31,11
32,5
33,0
34,8
35,5
36,9
37,12
38,9
39,7
40,9
41,5
42,5
43,12
44,11
45,0
46,10
47,9
48,5
49,14
50,9
51,1
52,11
53,6
54,9
55,14
56,9
57,9
58,9
59,5
60,9
61,5
62,14
63,5
64,8
65,5
66,6
67,9
68,10
69,9
70,3
71,1
72,11
73,0
74,14
75,5
76,14
77,12
78,14
79,10
80,0
81,11
82,7
83,0
84,5
85,1
86,0
87,5
88,1
89,0
90,5
91,5
92,5
93,13
94,10
95,3
96,8
97,3
98,9
99,0
100,11
101,9
102,14
103,6
104,5
105,3
106,13
107,5
108,3
109,6
110,9
111,3
112,7
113,9
114,13
115,11
116,0
117,9
118,0
119,9
120,8
121,1
122,14
123,11
124,1
125,6
126,1
127,8
128,3
129,5
130,10
131,5
132,13
133,0
134,11
135,0
136,11
137,8
138,5
139,9
140,0
141,14
142,9
143,14
144,13
145,1
146,10
147,0
148,0
149,0
150,14
151,14
152,9
153,0
154,14
155,9
156,9
157,11
158,12
159,11
160,11
161,13
162,0
163,9
164,9
165,9
166,5
167,0
168,11
169,14
170,9
171,9
172,9
173,3
174,5
175,8
176,9
177,9
178,12
179,12
180,0
181,9
182,0
183,5
184,7
185,9
186,11
187,3
188,10
189,9
190,9
191,9
192,5
193,0
194,11
195,9
196,9
197,0
198,11
199,0
200,9
201,11
202,0
203,12
204,9
205,3
206,6
207,0
208,13
209,14
210,14
211,0
212,5
213,5
214,14
215,12
216,0
217,0
218,0
219,11
220,0
221,12
222,14
223,6
224,11
225,11
226,11
227,0
228,14
229,14
230,5
231,5
232,6
233,0
234,0
235,11
236,0
237,0
238,11
239,0
240,5
241,5
242,9
243,14
244,14
245,0
246,14
247,9
248,12
249,0
250,11
251,12
252,12
253,0
254,0
255,5
256,9
257,5
258,8
259,9
260,8
261,5
262,5
263,8
264,8
265,0
266,8
267,14
268,14
269,14
270,5
271,14
272,14
273,14
274,10
275,14
276,12
277,10
278,5
279,5
280,5
281,14
282,5
283,14
284,9
285,14
286,6
287,12
288,5
289,8
290,14
291,5
292,14
293,12
294,12
295,5
296,5
297,0
298,11
299,12
300,14
301,12
302,14
303,14
304,9
305,0
306,0
307,12
308,14
309,14
310,12
311,9
312,12
313,14
314,9
315,10
316,0
317,9
318,14
319,14
320,9
321,12
322,14
323,5
324,14
325,12
326,5
327,5
328,14
329,14
330,14
331,14
332,14
333,14
334,14
335,14
336,5
337,14
338,14
339,14
340,6
341,5
342,14
343,11
344,6
345,11
346,14
347,14
348,13
349,14
350,14
351,5
352,14
353,5
354,14
355,11
356,5
357,14
358,14
359,11
360,14
361,11
362,14
363,14
364,14
365,5
366,14
367,5
368,14
369,14
370,11
371,12
372,9
373,12
374,14
375,11
376,5
377,8
378,14
379,14
380,14
381,14
382,5
383,14
384,11
385,8
386,14
387,14
388,5
389,14
390,14
391,11
392,14
393,14
394,12
395,14
396,12
397,14
398,14
399,11
400,11
401,5
402,0
403,0
404,5
405,5
406,8
407,0
408,12
409,9
410,9
411,8
412,9
413,5
414,9
415,1
416,8
417,11
418,8
419,0
420,5
421,14
422,9
423,5
424,9
425,12
426,9
427,5
428,9
429,9
430,10
431,9
432,8
433,11
434,9
435,9
436,11
437,9
438,11
439,9
440,8
441,11
442,9
443,9
444,9
445,11
446,9
447,9
448,11
449,0
450,11
451,9
452,0
453,0
454,0
455,0
456,8
457,9
458,9
459,9
460,9
461,11
462,8
463,9
464,9
465,5
466,9
467,9
468,0
469,9
470,9
471,0
472,5
473,9
474,5
475,5
476,11
477,11
478,0
479,12
480,9
481,10
482,11
483,9
484,12
485,9
486,9
487,9
488,11
489,9
490,0
491,9
492,0
493,5
494,9
495,9
496,8
497,9
498,6
499,5
500,11
501,10
502,5
503,0
504,0
505,0
506,3
507,9
508,9
509,12
510,9
511,9
512,11
513,0
514,12
515,0
516,3
517,0
518,0
519,0
520,12
521,9
522,0
523,0
524,11
525,3
526,6
527,0
528,5
529,9
530,9
531,8
532,5
533,0
534,9
535,0
536,13
537,11
538,14
539,14
540,14
541,0
542,14
543,14
544,6
545,14
546,5
547,14
548,6
549,14
550,14
551,14
552,14
553,14
554,0
555,14
556,0
557,3
558,14
559,6
560,5
561,14
562,11
563,14
564,14
565,9
566,0
567,14
568,6
569,14
570,14
571,5
572,14
573,14
574,11
575,9
576,14
577,6
578,5
579,5
580,14
581,12
582,9
583,5
584,14
585,14
586,14
587,14
588,14
589,11
590,14
591,5
592,14
593,6
594,12
595,14
596,13
597,14
598,14
599,9
600,14
601,14
602,14
603,14
604,11
605,5
606,9
607,14
608,0
609,9
610,9
611,14
612,14
613,14
614,5
615,5
616,14
617,5
618,14
619,14
620,14
621,14
622,14
623,14
624,14
625,14
626,14
627,9
628,14
629,5
630,14
631,14
632,14
633,5
634,14
635,0
636,14
637,14
638,5
639,14
640,6
641,14
642,14
643,14
644,14
645,5
646,5
647,14
648,14
649,0
650,9
651,14
652,5
653,14
654,1
655,14
656,14
657,14
658,14
659,9
660,12
661,14
662,14
663,14
664,14
665,1
666,9
667,5
668,8
669,14
670,9
671,14
672,14
673,5
674,14
675,5
676,0
677,9
678,5
679,14
680,14
681,5
682,5
683,14
684,9
685,14
686,14
687,14
688,5
689,14
690,5
691,11
692,0
693,14
694,14
695,9
696,0
697,14
698,0
699,13
700,5
701,5
702,5
703,14
704,9
705,9
706,5
707,14
708,14
709,14
710,6
711,14
712,1
713,14
714,5
715,14
716,14
717,0
718,14
719,9
720,11
721,14
722,14
723,14
724,5
725,14
726,9
727,5
728,14
729,6
730,6
731,14
732,0
733,14
734,14
735,14
736,14
737,5
738,14
739,9
740,5
741,14
742,5
743,14
744,14
745,13
746,14
747,0
748,14
749,5
750,14
751,11
752,14
753,6
754,6
755,14
756,14
757,12
758,5
759,14
760,5
761,9
762,14
763,14
764,14
765,14
766,14
767,14
768,5
769,14
770,14
771,14
772,14
773,14
774,14
775,14
776,5
777,14
778,9
779,5
780,14
781,14
782,9
783,14
784,14
785,14
786,14
787,14
788,14
789,9
790,1
791,14
792,14
793,5
794,6
795,5
796,14
797,9
798,9
799,9
800,14
801,5
802,14
803,5
804,5
805,14
806,14
807,5
808,5
809,14
810,5
811,14
812,0
813,14
814,5
815,5
816,14
817,5
818,14
819,12
820,14
821,5
822,5
823,5
824,9
825,5
826,5
827,14
828,14
829,14
830,5
831,5
832,5
833,5
834,14
835,9
836,14
837,5
838,10
839,9
840,14
841,0
842,14
843,14
844,5
845,14
846,14
847,14
848,14
849,5
850,14
851,14
852,5
853,14
854,13
855,12
856,14
857,6
858,14
859,13
860,14
861,9
862,9
863,5
864,5
865,5
866,5
867,14
868,5
869,5
870,14
871,14
872,5
873,14
874,14
875,5
876,14
877,14
878,9
879,14
880,5
881,12
882,6
883,14
884,9
885,14
886,6
887,5
888,5
889,14
890,14
891,5
892,8
893,5
894,14
895,12
896,9
897,14
898,14
899,13
900,14
901,5
902,5
903,8
904,5
905,12
906,14
907,14
908,14
909,14
910,5
911,5
912,14
913,5
914,13
915,9
916,14
917,14
918,5
919,9
920,0
921,5
922,6
923,14
924,14
925,5
926,5
927,0
928,11
929,13
930,0
931,0
932,14
933,14
934,14
935,14
936,11
937,0
938,0
939,14
940,14
941,14
942,14
943,12
944,7
945,14
946,11
947,11
948,11
949,14
950,13
951,14
952,14
953,11
954,11
955,11
956,0
957,11
958,14
959,14
960,5
961,14
962,5
963,14
964,3
965,5
966,14
967,11
968,13
969,14
970,9
971,14
972,0
973,13
974,14
975,14
976,5
977,11
978,11
979,11
980,11
981,6
982,12
983,10
984,0
985,9
986,0
987,0
988,0
989,9
990,9
991,0
992,5
993,12
994,12
995,14
996,14
997,9
998,14
999,14
1000,12
1001,5
1002,11
1003,11
1004,5
1005,9
1006,14
1007,5
1008,14
1009,14
1010,5
1011,14
1012,14
1013,14
1014,14
1015,9
1016,11
1017,5
1018,6
1019,14
1020,14
1021,14
1022,3
1023,10
1024,9
1025,14
1026,14
1027,14
1028,14
1029,14
1030,0
1031,11
1032,9
1033,9
1034,9
1035,9
1036,14
1037,14
1038,9
1039,12
1040,14
1041,0
1042,9
1043,9
1044,0
1045,3
1046,9
1047,14
1048,12
1049,14
1050,5
1051,14
1052,14
1053,14
1054,14
1055,14
1056,9
1057,5
1058,9
1059,5
1060,5
1061,14
1062,14
1063,14
1064,9
1065,9
1066,14
1067,9
1068,7
1069,9
1070,14
1071,5
1072,14
1073,14
1074,14
1075,14
1076,0
1077,11
1078,9
1079,14
1080,14
1081,9
1082,5
1083,14
1084,0
1085,9
1086,9
1087,11
1088,14
1089,9
1090,14
1091,11
1092,14
1093,14
1094,0
1095,5
1096,14
1097,9
1098,14
1099,0
1100,14
1101,9
1102,9
1103,9
1104,14
1105,5
1106,14
1107,14
1108,5
1109,8
1110,11
1111,10
1112,0
1113,14
1114,5
1115,11
1116,14
1117,11
1118,14
1119,9
1120,9
1121,11
1122,14
1123,14
1124,11
1125,0
1126,11
1127,9
1128,14
1129,9
1130,9
1131,5
1132,5
1133,9
1134,14
1135,14
1136,5
1137,14
1138,12
1139,9
1140,5
1141,14
1142,9
1143,14
1144,14
1145,14
1146,14
1147,5
1148,5
1149,14
1150,14
1151,14
1152,9
1153,14
1154,14
1155,0
1156,14
1157,5
1158,14
1159,9
1160,9
1161,9
1162,14
1163,14
1164,14
1165,14
1166,9
1167,9
1168,14
1169,9
1170,0
1171,14
1172,9
1173,14
1174,0
1175,14
1176,9
1177,14
1178,0
1179,0
1180,14
1181,9
1182,14
1183,5
1184,9
1185,11
1186,11
1187,14
1188,5
1189,10
1190,9
1191,6
1192,14
1193,6
1194,5
1195,14
1196,14
1197,14
1198,10
1199,14
1200,9
1201,9
1202,14
1203,7
1204,14
1205,0
1206,5
1207,9
1208,12
1209,14
1210,12
1211,14
1212,14
1213,14
1214,14
1215,9
1216,14
1217,14
1218,9
1219,11
1220,12
1221,14
1222,14
1223,9
1224,14
1225,9
1226,14
1227,14
1228,14
1229,9
1230,5
1231,0
1232,5
1233,14
1234,9
1235,14
1236,5
1237,14
1238,14
1239,5
1240,9
1241,9
1242,9
1243,14
1244,14
1245,14
1246,14
1247,11
1248,5
1249,9
1250,9
1251,9
1252,0
1253,14
1254,8
1255,9
1256,9
1257,1
1258,0
1259,14
1260,14
1261,9
